state_cd,2s,49,49,49,49,49,49,49
state_name,40s,Utah,Utah,Utah,Utah,Utah,Utah,Utah
"Livestock (Stock) total self-supplied withdrawals, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Livestock (Stock) total self-supplied withdrawals, in Mgal/d",16s,-,-,16.27,-,-,-,-
"Livestock (Stock) consumptive use, fresh, in Mgal/d",16s,6.85,6.31,12.08,-,-,-,-
"Livestock (Stock) consumptive use, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Livestock (Stock) total consumptive use, in Mgal/d",16s,-,-,12.08,-,-,-,-
"Livestock (Animal Specialties) self-supplied groundwater withdrawals, fresh, in Mgal/d",16s,-,0.19,0.8,-,-,-,-
"Livestock (Animal Specialties) self-supplied groundwater withdrawals, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Livestock (Animal Specialties) total self-supplied withdrawals, groundwater, in Mgal/d",16s,-,-,0.8,-,-,-,-
"Livestock (Animal Specialties) self-supplied surface-water withdrawals, fresh, in Mgal/d",16s,-,0.34,90.78,-,-,-,-
"Livestock (Animal Specialties) self-supplied surface-water withdrawals, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Livestock (Animal Specialties) total self-supplied withdrawals, surface water, in Mgal/d",16s,-,-,90.78,-,-,-,-
"Livestock (Animal Specialties) total self-supplied withdrawals, fresh, in Mgal/d",16s,-,0.53,91.58,-,-,-,-
"Livestock (Animal Specialties) total self-supplied withdrawals, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Livestock (Animal Specialties) total self-supplied withdrawals, in Mgal/d",16s,-,-,91.58,-,-,-,-
"Livestock (Animal Specialties) consumptive use, fresh, in Mgal/d",16s,-,0.34,0.51,-,-,-,-
"Livestock (Animal Specialties) consumptive use, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Livestock (Animal Specialties) total consumptive use, in Mgal/d",16s,-,-,0.51,-,-,-,-
"Aquaculture self-supplied groundwater withdrawals, fresh, in Mgal/d",16s,-,-,-,116.11,87.5,97.13,83.08
"Aquaculture self-supplied groundwater withdrawals, saline, in Mgal/d",16s,-,-,-,-,-,0,0
"Aquaculture total self-supplied withdrawals, groundwater, in Mgal/d",16s,-,-,-,-,-,97.13,83.08
"Aquaculture self-supplied surface-water withdrawals, fresh, in Mgal/d",16s,-,-,-,4.69,0.18,0,0
"Aquaculture self-supplied surface-water withdrawals, saline, in Mgal/d",16s,-,-,-,-,-,0,0
"Aquaculture total self-supplied withdrawals, surface water, in Mgal/d",16s,-,-,-,-,-,0,0
"Aquaculture total self-supplied withdrawals, fresh, in Mgal/d",16s,-,-,-,120.8,87.68,97.13,83.08
"Aquaculture total self-supplied withdrawals, saline, in Mgal/d",16s,-,-,-,-,-,0,0
"Aquaculture total self-supplied withdrawals, in Mgal/d",16s,-,-,-,-,-,97.13,83.08
"Aquaculture consumptive use, fresh, in Mgal/d",16s,-,-,-,-,-,0,-
"Aquaculture consumptive use, saline, in Mgal/d",16s,-,-,-,-,-,0,-
"Aquaculture total consumptive use, in Mgal/d",16s,-,-,-,-,-,0,-
"Irrigation, Total self-supplied groundwater withdrawals, fresh, in Mgal/d",16s,384.36,507.96,393.32,468.87,388.89,493.94,536.83
"Irrigation, Total self-supplied groundwater withdrawals, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Irrigation, Total total self-supplied withdrawals, groundwater, in Mgal/d",16s,-,-,393.32,-,-,493.94,536.83
"Irrigation, Total self-supplied surface-water withdrawals, fresh, in Mgal/d",16s,3201.68,3082.55,3139.68,3392.93,3607.39,2725.6,2488.49
